"","species","entrez_id","pathway_id","pathway_name","gene_symbol"
"1","hsa","102723532","path:hsa04740","Olfactory transduction","LOC102723532"
"2","hsa","105369274","path:hsa04740","Olfactory transduction","OR4N4C"
"3","hsa","10798","path:hsa04740","Olfactory transduction","OR5I1"
"4","hsa","107987545","path:hsa04740","Olfactory transduction","LOC107987545"
"5","hsa","109","path:hsa04740","Olfactory transduction","ADCY3"
"6","hsa","112268384","path:hsa04740","Olfactory transduction","LOC112268384"
"7","hsa","119678","path:hsa04740","Olfactory transduction","OR52E2"
"8","hsa","119679","path:hsa04740","Olfactory transduction","OR52J3"
"9","hsa","119682","path:hsa04740","Olfactory transduction","OR51L1"
"10","hsa","119687","path:hsa04740","Olfactory transduction","OR51A7"
"11","hsa","119692","path:hsa04740","Olfactory transduction","OR51S1"
"12","hsa","119694","path:hsa04740","Olfactory transduction","OR51F2"
"13","hsa","119695","path:hsa04740","Olfactory transduction","OR52R1"
"14","hsa","119749","path:hsa04740","Olfactory transduction","OR4C46"
"15","hsa","119764","path:hsa04740","Olfactory transduction","OR4X2"
"16","hsa","119765","path:hsa04740","Olfactory transduction","OR4B1"
"17","hsa","119772","path:hsa04740","Olfactory transduction","OR52M1"
"18","hsa","119774","path:hsa04740","Olfactory transduction","OR52K2"
"19","hsa","120065","path:hsa04740","Olfactory transduction","OR5P2"
"20","hsa","120066","path:hsa04740","Olfactory transduction","OR5P3"
"21","hsa","120586","path:hsa04740","Olfactory transduction","OR8I2"
"22","hsa","120775","path:hsa04740","Olfactory transduction","OR2D3"
"23","hsa","120776","path:hsa04740","Olfactory transduction","OR2D2"
"24","hsa","120787","path:hsa04740","Olfactory transduction","OR52W1"
"25","hsa","120793","path:hsa04740","Olfactory transduction","OR56A4"
"26","hsa","120796","path:hsa04740","Olfactory transduction","OR56A1"
"27","hsa","121129","path:hsa04740","Olfactory transduction","OR2AP1"
"28","hsa","121130","path:hsa04740","Olfactory transduction","OR10P1"
"29","hsa","121275","path:hsa04740","Olfactory transduction","OR10AD1"
"30","hsa","121364","path:hsa04740","Olfactory transduction","OR10A7"
"31","hsa","122740","path:hsa04740","Olfactory transduction","OR4K14"
"32","hsa","122742","path:hsa04740","Olfactory transduction","OR4L1"
"33","hsa","122748","path:hsa04740","Olfactory transduction","OR11H6"
"34","hsa","123041","path:hsa04740","Olfactory transduction","SLC24A4"
"35","hsa","124538","path:hsa04740","Olfactory transduction","OR4D2"
"36","hsa","1258","path:hsa04740","Olfactory transduction","CNGB1"
"37","hsa","125958","path:hsa04740","Olfactory transduction","OR7D4"
"38","hsa","125962","path:hsa04740","Olfactory transduction","OR7G1"
"39","hsa","125963","path:hsa04740","Olfactory transduction","OR1M1"
"40","hsa","1260","path:hsa04740","Olfactory transduction","CNGA2"
"41","hsa","1261","path:hsa04740","Olfactory transduction","CNGA3"
"42","hsa","1262","path:hsa04740","Olfactory transduction","CNGA4"
"43","hsa","126370","path:hsa04740","Olfactory transduction","OR1I1"
"44","hsa","126541","path:hsa04740","Olfactory transduction","OR10H4"
"45","hsa","127059","path:hsa04740","Olfactory transduction","OR2M5"
"46","hsa","127062","path:hsa04740","Olfactory transduction","OR2M3"
"47","hsa","127064","path:hsa04740","Olfactory transduction","OR2T12"
"48","hsa","127066","path:hsa04740","Olfactory transduction","OR14C36"
"49","hsa","127068","path:hsa04740","Olfactory transduction","OR2T34"
"50","hsa","127069","path:hsa04740","Olfactory transduction","OR2T10"
"51","hsa","127074","path:hsa04740","Olfactory transduction","OR2T4"
"52","hsa","127077","path:hsa04740","Olfactory transduction","OR2T11"
"53","hsa","127385","path:hsa04740","Olfactory transduction","OR10J5"
"54","hsa","127608","path:hsa04740","Olfactory transduction","OR2AJ1"
"55","hsa","127623","path:hsa04740","Olfactory transduction","OR2B11"
"56","hsa","128360","path:hsa04740","Olfactory transduction","OR10T2"
"57","hsa","128366","path:hsa04740","Olfactory transduction","OR6P1"
"58","hsa","128367","path:hsa04740","Olfactory transduction","OR10X1"
"59","hsa","128368","path:hsa04740","Olfactory transduction","OR10Z1"
"60","hsa","128371","path:hsa04740","Olfactory transduction","OR6K6"
"61","hsa","128372","path:hsa04740","Olfactory transduction","OR6N1"
"62","hsa","130075","path:hsa04740","Olfactory transduction","OR9A4"
"63","hsa","134083","path:hsa04740","Olfactory transduction","OR2Y1"
"64","hsa","135924","path:hsa04740","Olfactory transduction","OR9A2"
"65","hsa","135941","path:hsa04740","Olfactory transduction","OR2A14"
"66","hsa","135946","path:hsa04740","Olfactory transduction","OR6B1"
"67","hsa","135948","path:hsa04740","Olfactory transduction","OR2F2"
"68","hsa","138799","path:hsa04740","Olfactory transduction","OR13C5"
"69","hsa","138802","path:hsa04740","Olfactory transduction","OR13C8"
"70","hsa","138803","path:hsa04740","Olfactory transduction","OR13C3"
"71","hsa","138804","path:hsa04740","Olfactory transduction","OR13C4"
"72","hsa","138805","path:hsa04740","Olfactory transduction","OR13F1"
"73","hsa","138881","path:hsa04740","Olfactory transduction","OR1L8"
"74","hsa","138882","path:hsa04740","Olfactory transduction","OR1N2"
"75","hsa","138883","path:hsa04740","Olfactory transduction","OR1N1"
"76","hsa","143496","path:hsa04740","Olfactory transduction","OR52B4"
"77","hsa","143502","path:hsa04740","Olfactory transduction","OR52I2"
"78","hsa","143503","path:hsa04740","Olfactory transduction","OR51E1"
"79","hsa","144124","path:hsa04740","Olfactory transduction","OR10A5"
"80","hsa","144125","path:hsa04740","Olfactory transduction","OR2AG1"
"81","hsa","150681","path:hsa04740","Olfactory transduction","OR6B3"
"82","hsa","156","path:hsa04740","Olfactory transduction","GRK2"
"83","hsa","157","path:hsa04740","Olfactory transduction","GRK3"
"84","hsa","158131","path:hsa04740","Olfactory transduction","OR1Q1"
"85","hsa","162998","path:hsa04740","Olfactory transduction","OR7D2"
"86","hsa","163688","path:hsa04740","Olfactory transduction","CALML6"
"87","hsa","196335","path:hsa04740","Olfactory transduction","OR56B4"
"88","hsa","219417","path:hsa04740","Olfactory transduction","OR8U1"
"89","hsa","219428","path:hsa04740","Olfactory transduction","OR4C16"
"90","hsa","219429","path:hsa04740","Olfactory transduction","OR4C11"
"91","hsa","219431","path:hsa04740","Olfactory transduction","OR4S2"
"92","hsa","219432","path:hsa04740","Olfactory transduction","OR4C6"
"93","hsa","219436","path:hsa04740","Olfactory transduction","OR5D14"
"94","hsa","219437","path:hsa04740","Olfactory transduction","OR5L1"
"95","hsa","219438","path:hsa04740","Olfactory transduction","OR5D18"
"96","hsa","219447","path:hsa04740","Olfactory transduction","OR5AS1"
"97","hsa","219453","path:hsa04740","Olfactory transduction","OR8K5"
"98","hsa","219464","path:hsa04740","Olfactory transduction","OR5T2"
"99","hsa","219469","path:hsa04740","Olfactory transduction","OR8H1"
"100","hsa","219473","path:hsa04740","Olfactory transduction","OR8K3"
"101","hsa","219477","path:hsa04740","Olfactory transduction","OR8J1"
"102","hsa","219479","path:hsa04740","Olfactory transduction","OR8U3"
"103","hsa","219482","path:hsa04740","Olfactory transduction","OR5M3"
"104","hsa","219484","path:hsa04740","Olfactory transduction","OR5M8"
"105","hsa","219487","path:hsa04740","Olfactory transduction","OR5M11"
"106","hsa","219493","path:hsa04740","Olfactory transduction","OR5AR1"
"107","hsa","219858","path:hsa04740","Olfactory transduction","OR8B12"
"108","hsa","219865","path:hsa04740","Olfactory transduction","OR8G5"
"109","hsa","219869","path:hsa04740","Olfactory transduction","OR10G8"
"110","hsa","219870","path:hsa04740","Olfactory transduction","OR10G9"
"111","hsa","219873","path:hsa04740","Olfactory transduction","OR10S1"
"112","hsa","219874","path:hsa04740","Olfactory transduction","OR6T1"
"113","hsa","219875","path:hsa04740","Olfactory transduction","OR4D5"
"114","hsa","219952","path:hsa04740","Olfactory transduction","OR6Q1"
"115","hsa","219954","path:hsa04740","Olfactory transduction","OR9I1"
"116","hsa","219956","path:hsa04740","Olfactory transduction","OR9Q1"
"117","hsa","219957","path:hsa04740","Olfactory transduction","OR9Q2"
"118","hsa","219958","path:hsa04740","Olfactory transduction","OR1S2"
"119","hsa","219959","path:hsa04740","Olfactory transduction","OR1S1"
"120","hsa","219960","path:hsa04740","Olfactory transduction","OR10Q1"
"121","hsa","219965","path:hsa04740","Olfactory transduction","OR5B17"
"122","hsa","219968","path:hsa04740","Olfactory transduction","OR5B21"
"123","hsa","219981","path:hsa04740","Olfactory transduction","OR5A2"
"124","hsa","219982","path:hsa04740","Olfactory transduction","OR5A1"
"125","hsa","219983","path:hsa04740","Olfactory transduction","OR4D6"
"126","hsa","219986","path:hsa04740","Olfactory transduction","OR4D11"
"127","hsa","23538","path:hsa04740","Olfactory transduction","OR52A1"
"128","hsa","254783","path:hsa04740","Olfactory transduction","OR6C74"
"129","hsa","254786","path:hsa04740","Olfactory transduction","OR6C3"
"130","hsa","254879","path:hsa04740","Olfactory transduction","OR2T6"
"131","hsa","254973","path:hsa04740","Olfactory transduction","OR1L4"
"132","hsa","255725","path:hsa04740","Olfactory transduction","OR52B2"
"133","hsa","256144","path:hsa04740","Olfactory transduction","OR4C3"
"134","hsa","256148","path:hsa04740","Olfactory transduction","OR4S1"
"135","hsa","256892","path:hsa04740","Olfactory transduction","OR51F1"
"136","hsa","26188","path:hsa04740","Olfactory transduction","OR1C1"
"137","hsa","26189","path:hsa04740","Olfactory transduction","OR1A2"
"138","hsa","26211","path:hsa04740","Olfactory transduction","OR2F1"
"139","hsa","26212","path:hsa04740","Olfactory transduction","OR2B6"
"140","hsa","26219","path:hsa04740","Olfactory transduction","OR1J4"
"141","hsa","26245","path:hsa04740","Olfactory transduction","OR2M4"
"142","hsa","26246","path:hsa04740","Olfactory transduction","OR2L2"
"143","hsa","26248","path:hsa04740","Olfactory transduction","OR2K2"
"144","hsa","26333","path:hsa04740","Olfactory transduction","OR7A17"
"145","hsa","26338","path:hsa04740","Olfactory transduction","OR5L2"
"146","hsa","26339","path:hsa04740","Olfactory transduction","OR5K1"
"147","hsa","26341","path:hsa04740","Olfactory transduction","OR5H1"
"148","hsa","26476","path:hsa04740","Olfactory transduction","OR10J1"
"149","hsa","26493","path:hsa04740","Olfactory transduction","OR8B8"
"150","hsa","26494","path:hsa04740","Olfactory transduction","OR8G1"
"151","hsa","26496","path:hsa04740","Olfactory transduction","OR10A3"
"152","hsa","26497","path:hsa04740","Olfactory transduction","OR10D3"
"153","hsa","26529","path:hsa04740","Olfactory transduction","OR12D2"
"154","hsa","26530","path:hsa04740","Olfactory transduction","OR12D1"
"155","hsa","26531","path:hsa04740","Olfactory transduction","OR11A1"
"156","hsa","26532","path:hsa04740","Olfactory transduction","OR10H3"
"157","hsa","26533","path:hsa04740","Olfactory transduction","OR10G3"
"158","hsa","26534","path:hsa04740","Olfactory transduction","OR10G2"
"159","hsa","26538","path:hsa04740","Olfactory transduction","OR10H2"
"160","hsa","26539","path:hsa04740","Olfactory transduction","OR10H1"
"161","hsa","26595","path:hsa04740","Olfactory transduction","OR8B2"
"162","hsa","26648","path:hsa04740","Olfactory transduction","OR7E24"
"163","hsa","26658","path:hsa04740","Olfactory transduction","OR7C2"
"164","hsa","26659","path:hsa04740","Olfactory transduction","OR7A5"
"165","hsa","26664","path:hsa04740","Olfactory transduction","OR7C1"
"166","hsa","26683","path:hsa04740","Olfactory transduction","OR4F3"
"167","hsa","26686","path:hsa04740","Olfactory transduction","OR4E2"
"168","hsa","26687","path:hsa04740","Olfactory transduction","OR4E1"
"169","hsa","26689","path:hsa04740","Olfactory transduction","OR4D1"
"170","hsa","26692","path:hsa04740","Olfactory transduction","OR2W1"
"171","hsa","26693","path:hsa04740","Olfactory transduction","OR2V1"
"172","hsa","26696","path:hsa04740","Olfactory transduction","OR2T1"
"173","hsa","26707","path:hsa04740","Olfactory transduction","OR2J2"
"174","hsa","26716","path:hsa04740","Olfactory transduction","OR2H1"
"175","hsa","26735","path:hsa04740","Olfactory transduction","OR1L3"
"176","hsa","26737","path:hsa04740","Olfactory transduction","OR1L1"
"177","hsa","26740","path:hsa04740","Olfactory transduction","OR1J2"
"178","hsa","2774","path:hsa04740","Olfactory transduction","GNAL"
"179","hsa","2782","path:hsa04740","Olfactory transduction","GNB1"
"180","hsa","2788","path:hsa04740","Olfactory transduction","GNG7"
"181","hsa","282763","path:hsa04740","Olfactory transduction","OR51B5"
"182","hsa","282770","path:hsa04740","Olfactory transduction","OR10AG1"
"183","hsa","282775","path:hsa04740","Olfactory transduction","OR5J2"
"184","hsa","283092","path:hsa04740","Olfactory transduction","OR4C13"
"185","hsa","283093","path:hsa04740","Olfactory transduction","OR4C12"
"186","hsa","283111","path:hsa04740","Olfactory transduction","OR51V1"
"187","hsa","283159","path:hsa04740","Olfactory transduction","OR8D1"
"188","hsa","283160","path:hsa04740","Olfactory transduction","OR8D2"
"189","hsa","283162","path:hsa04740","Olfactory transduction","OR8B4"
"190","hsa","283189","path:hsa04740","Olfactory transduction","OR9G4"
"191","hsa","283297","path:hsa04740","Olfactory transduction","OR10A4"
"192","hsa","283365","path:hsa04740","Olfactory transduction","OR6C6"
"193","hsa","283617","path:hsa04740","Olfactory transduction","OR4K3"
"194","hsa","283694","path:hsa04740","Olfactory transduction","OR4N4"
"195","hsa","284383","path:hsa04740","Olfactory transduction","OR2Z1"
"196","hsa","284433","path:hsa04740","Olfactory transduction","OR10H5"
"197","hsa","284521","path:hsa04740","Olfactory transduction","OR2L13"
"198","hsa","284532","path:hsa04740","Olfactory transduction","OR14A16"
"199","hsa","285659","path:hsa04740","Olfactory transduction","OR2V2"
"200","hsa","286362","path:hsa04740","Olfactory transduction","OR13C9"
"201","hsa","286365","path:hsa04740","Olfactory transduction","OR13D1"
"202","hsa","3000","path:hsa04740","Olfactory transduction","GUCY2D"
"203","hsa","338662","path:hsa04740","Olfactory transduction","OR8D4"
"204","hsa","338674","path:hsa04740","Olfactory transduction","OR5F1"
"205","hsa","338675","path:hsa04740","Olfactory transduction","OR5AP2"
"206","hsa","338751","path:hsa04740","Olfactory transduction","OR52L1"
"207","hsa","338755","path:hsa04740","Olfactory transduction","OR2AG2"
"208","hsa","340980","path:hsa04740","Olfactory transduction","OR52B6"
"209","hsa","341152","path:hsa04740","Olfactory transduction","OR2AT4"
"210","hsa","341276","path:hsa04740","Olfactory transduction","OR10A2"
"211","hsa","341416","path:hsa04740","Olfactory transduction","OR6C2"
"212","hsa","341418","path:hsa04740","Olfactory transduction","OR6C4"
"213","hsa","341568","path:hsa04740","Olfactory transduction","OR8S1"
"214","hsa","341799","path:hsa04740","Olfactory transduction","OR6S1"
"215","hsa","343169","path:hsa04740","Olfactory transduction","OR6F1"
"216","hsa","343170","path:hsa04740","Olfactory transduction","OR14K1"
"217","hsa","343171","path:hsa04740","Olfactory transduction","OR2W3"
"218","hsa","343172","path:hsa04740","Olfactory transduction","OR2T8"
"219","hsa","343173","path:hsa04740","Olfactory transduction","OR2T3"
"220","hsa","343406","path:hsa04740","Olfactory transduction","OR10R2"
"221","hsa","343563","path:hsa04740","Olfactory transduction","OR2T29"
"222","hsa","346517","path:hsa04740","Olfactory transduction","OR6V1"
"223","hsa","346525","path:hsa04740","Olfactory transduction","OR2A12"
"224","hsa","346528","path:hsa04740","Olfactory transduction","OR2A1"
"225","hsa","347168","path:hsa04740","Olfactory transduction","OR1J1"
"226","hsa","347169","path:hsa04740","Olfactory transduction","OR1B1"
"227","hsa","347468","path:hsa04740","Olfactory transduction","OR13H1"
"228","hsa","387748","path:hsa04740","Olfactory transduction","OR56B1"
"229","hsa","388761","path:hsa04740","Olfactory transduction","OR14A2"
"230","hsa","389090","path:hsa04740","Olfactory transduction","OR6B2"
"231","hsa","390036","path:hsa04740","Olfactory transduction","OR52K1"
"232","hsa","390037","path:hsa04740","Olfactory transduction","OR52I1"
"233","hsa","390038","path:hsa04740","Olfactory transduction","OR51D1"
"234","hsa","390054","path:hsa04740","Olfactory transduction","OR52A5"
"235","hsa","390058","path:hsa04740","Olfactory transduction","OR51B6"
"236","hsa","390059","path:hsa04740","Olfactory transduction","OR51M1"
"237","hsa","390061","path:hsa04740","Olfactory transduction","OR51Q1"
"238","hsa","390063","path:hsa04740","Olfactory transduction","OR51I1"
"239","hsa","390064","path:hsa04740","Olfactory transduction","OR51I2"
"240","hsa","390066","path:hsa04740","Olfactory transduction","OR52D1"
"241","hsa","390067","path:hsa04740","Olfactory transduction","OR52H1"
"242","hsa","390072","path:hsa04740","Olfactory transduction","OR52N4"
"243","hsa","390075","path:hsa04740","Olfactory transduction","OR52N5"
"244","hsa","390077","path:hsa04740","Olfactory transduction","OR52N2"
"245","hsa","390078","path:hsa04740","Olfactory transduction","OR52E6"
"246","hsa","390079","path:hsa04740","Olfactory transduction","OR52E8"
"247","hsa","390081","path:hsa04740","Olfactory transduction","OR52E4"
"248","hsa","390082","path:hsa04740","Olfactory transduction","OR52E5"
"249","hsa","390083","path:hsa04740","Olfactory transduction","OR56A3"
"250","hsa","390084","path:hsa04740","Olfactory transduction","OR56A5"
"251","hsa","390093","path:hsa04740","Olfactory transduction","OR10A6"
"252","hsa","390113","path:hsa04740","Olfactory transduction","OR4X1"
"253","hsa","390142","path:hsa04740","Olfactory transduction","OR5D13"
"254","hsa","390144","path:hsa04740","Olfactory transduction","OR5D16"
"255","hsa","390148","path:hsa04740","Olfactory transduction","OR5W2"
"256","hsa","390151","path:hsa04740","Olfactory transduction","OR8H2"
"257","hsa","390152","path:hsa04740","Olfactory transduction","OR8H3"
"258","hsa","390154","path:hsa04740","Olfactory transduction","OR5T3"
"259","hsa","390155","path:hsa04740","Olfactory transduction","OR5T1"
"260","hsa","390157","path:hsa04740","Olfactory transduction","OR8K1"
"261","hsa","390162","path:hsa04740","Olfactory transduction","OR5M9"
"262","hsa","390167","path:hsa04740","Olfactory transduction","OR5M10"
"263","hsa","390168","path:hsa04740","Olfactory transduction","OR5M1"
"264","hsa","390174","path:hsa04740","Olfactory transduction","OR9G1"
"265","hsa","390181","path:hsa04740","Olfactory transduction","OR5AK2"
"266","hsa","390190","path:hsa04740","Olfactory transduction","OR5B2"
"267","hsa","390191","path:hsa04740","Olfactory transduction","OR5B12"
"268","hsa","390195","path:hsa04740","Olfactory transduction","OR5AN1"
"269","hsa","390197","path:hsa04740","Olfactory transduction","OR4D10"
"270","hsa","390199","path:hsa04740","Olfactory transduction","OR4D9"
"271","hsa","390201","path:hsa04740","Olfactory transduction","OR10V1"
"272","hsa","390260","path:hsa04740","Olfactory transduction","OR6X1"
"273","hsa","390261","path:hsa04740","Olfactory transduction","OR6M1"
"274","hsa","390264","path:hsa04740","Olfactory transduction","OR10G4"
"275","hsa","390265","path:hsa04740","Olfactory transduction","OR10G7"
"276","hsa","390271","path:hsa04740","Olfactory transduction","OR8B3"
"277","hsa","390275","path:hsa04740","Olfactory transduction","OR8A1"
"278","hsa","390321","path:hsa04740","Olfactory transduction","OR6C1"
"279","hsa","390323","path:hsa04740","Olfactory transduction","OR6C75"
