stringId_A,stringId_B,combined_score
ENSP00000218006,ENSP00000334910,0.73818019
ENSP00000218006,ENSP00000420295,0.7531596759999999
ENSP00000218006,ENSP00000255266,0.7599113259999999
ENSP00000218006,ENSP00000254854,0.9285796
ENSP00000218006,ENSP00000261047,0.912486
ENSP00000218006,ENSP00000230361,0.9177927
ENSP00000226193,ENSP00000296271,0.82925
ENSP00000226193,ENSP00000264952,0.9167386
ENSP00000226193,ENSP00000334876,0.986966
ENSP00000229264,ENSP00000307766,0.7452000000000001
ENSP00000229264,ENSP00000322924,0.7452000000000001
ENSP00000229264,ENSP00000312262,0.7059949999999999
ENSP00000229264,ENSP00000363748,0.7522
ENSP00000229264,ENSP00000358963,0.7628554000000001
ENSP00000229264,ENSP00000334051,0.76816
ENSP00000229264,ENSP00000316244,0.7658290000000001
ENSP00000229264,ENSP00000296271,0.720774
ENSP00000229264,ENSP00000232461,0.7859923600000001
ENSP00000229264,ENSP00000251337,0.7827742
ENSP00000229264,ENSP00000367762,0.9
ENSP00000229264,ENSP00000364520,0.9
ENSP00000229264,ENSP00000243052,0.9049
ENSP00000229264,ENSP00000331867,0.9049
ENSP00000229264,ENSP00000410309,0.9
ENSP00000229264,ENSP00000344411,0.9
ENSP00000229264,ENSP00000379496,0.9061
ENSP00000229264,ENSP00000338185,0.9
ENSP00000229264,ENSP00000443631,0.9
ENSP00000229264,ENSP00000381339,0.952777
ENSP00000229264,ENSP00000260402,0.9049
ENSP00000229264,ENSP00000248572,0.9978265
ENSP00000229264,ENSP00000248150,0.9995495
ENSP00000229264,ENSP00000371594,0.9978265
ENSP00000230361,ENSP00000261047,0.9
ENSP00000230361,ENSP00000254854,0.9177927
ENSP00000232461,ENSP00000381339,0.7852393400000001
ENSP00000232461,ENSP00000251337,0.9531157
ENSP00000232461,ENSP00000248572,0.9373855
ENSP00000232461,ENSP00000262406,0.9670033
ENSP00000232461,ENSP00000255266,0.9544969
ENSP00000232461,ENSP00000420295,0.9524962
ENSP00000232461,ENSP00000328412,0.9952259999999999
ENSP00000232461,ENSP00000296271,0.9946639
ENSP00000235382,ENSP00000264399,0.9
ENSP00000235382,ENSP00000363092,0.9292
ENSP00000236877,ENSP00000384763,0.9063
ENSP00000236877,ENSP00000264399,0.9069
ENSP00000236877,ENSP00000363092,0.9069
ENSP00000236877,ENSP00000366488,0.9057000000000001
ENSP00000236877,ENSP00000309591,0.9057000000000001
ENSP00000236877,ENSP00000359719,0.9082
ENSP00000236877,ENSP00000370669,0.9659992000000001
ENSP00000243052,ENSP00000381339,0.9
ENSP00000243052,ENSP00000248150,0.906
ENSP00000243052,ENSP00000410309,0.9058
ENSP00000243052,ENSP00000379496,0.9574
ENSP00000243052,ENSP00000419081,0.9065
ENSP00000243052,ENSP00000304643,0.9065
ENSP00000243052,ENSP00000315299,0.9105
ENSP00000243052,ENSP00000369689,0.9105
ENSP00000243052,ENSP00000291295,0.9143485
ENSP00000244623,ENSP00000409581,0.704971
ENSP00000244623,ENSP00000403701,0.704971
ENSP00000247879,ENSP00000247881,0.7672
ENSP00000248072,ENSP00000248150,0.70894
ENSP00000248150,ENSP00000380155,0.704936
ENSP00000248150,ENSP00000386222,0.705552
ENSP00000248150,ENSP00000353516,0.705552
ENSP00000248150,ENSP00000369559,0.705552
ENSP00000248150,ENSP00000331545,0.705552
ENSP00000248150,ENSP00000369568,0.7064760000000001
ENSP00000248150,ENSP00000459028,0.7064760000000001
ENSP00000248150,ENSP00000248384,0.7064760000000001
ENSP00000248150,ENSP00000300773,0.7067840000000001
ENSP00000248150,ENSP00000369725,0.7067840000000001
ENSP00000248150,ENSP00000301532,0.707092
ENSP00000248150,ENSP00000297913,0.7064760000000001
ENSP00000248150,ENSP00000299454,0.7092480000000001
ENSP00000248150,ENSP00000313384,0.709864
ENSP00000248150,ENSP00000380023,0.71048
ENSP00000248150,ENSP00000304419,0.712636
ENSP00000248150,ENSP00000367650,0.712636
ENSP00000248150,ENSP00000306095,0.7178720000000001
ENSP00000248150,ENSP00000305424,0.7178720000000001
ENSP00000248150,ENSP00000358963,0.7114039999999999
ENSP00000248150,ENSP00000331823,0.7067840000000001
ENSP00000248150,ENSP00000339726,0.731732
ENSP00000248150,ENSP00000307766,0.735428
ENSP00000248150,ENSP00000316244,0.726804
ENSP00000248150,ENSP00000380153,0.704936
ENSP00000248150,ENSP00000316955,0.705244
ENSP00000248150,ENSP00000387523,0.7092480000000001
ENSP00000248150,ENSP00000366354,0.7178720000000001
ENSP00000248150,ENSP00000379496,0.9
ENSP00000248150,ENSP00000443631,0.9
ENSP00000248150,ENSP00000367762,0.9062
ENSP00000248150,ENSP00000338185,0.9
ENSP00000248150,ENSP00000410309,0.9086000000000001
ENSP00000248150,ENSP00000364520,0.9082
ENSP00000248150,ENSP00000331867,0.9044
ENSP00000248150,ENSP00000344411,0.9
ENSP00000248150,ENSP00000371594,0.9068
ENSP00000248150,ENSP00000260402,0.9047000000000001
ENSP00000248150,ENSP00000334051,0.94402
ENSP00000248150,ENSP00000381339,0.9477756
ENSP00000248572,ENSP00000363748,0.704936
ENSP00000248572,ENSP00000381339,0.70822384
ENSP00000248572,ENSP00000334051,0.744424
ENSP00000248572,ENSP00000262406,0.9049
ENSP00000248572,ENSP00000420295,0.9111
ENSP00000248572,ENSP00000328412,0.9213
ENSP00000248572,ENSP00000251337,0.9364222
ENSP00000248572,ENSP00000255266,0.9107000000000001
