queryItem,stringId,ncbiTaxonId,taxonName,preferredName,annotation
LOC102723532,ENSP00000480318,9606,Homo sapiens,LOC102723532,Olfactory receptor.
OR5I1,ENSP00000301532,9606,Homo sapiens,OR5I1,Olfactory receptor 5I1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
ADCY3,ENSP00000384484,9606,Homo sapiens,ADCY3,Adenylate cyclase type 3; Catalyzes the formation of the signaling molecule cAMP in response to G-protein signaling. Participates in signaling cascades triggered by odorant receptors via its function in cAMP biosynthesis. Required for the perception of odorants. Required for normal sperm motility and normal male fertility. Plays a role in regulating insulin levels and body fat accumulation in response to a high fat diet.
OR52E2,ENSP00000322088,9606,Homo sapiens,OR52E2,Olfactory receptor 52E2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR52J3,ENSP00000369728,9606,Homo sapiens,OR52J3,Olfactory receptor 52J3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR51L1,ENSP00000493015,9606,Homo sapiens,OR51L1,Olfactory receptor 51L1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR51A7,ENSP00000493162,9606,Homo sapiens,OR51A7,Olfactory receptor 51A7; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR51S1,ENSP00000322754,9606,Homo sapiens,OR51S1,Olfactory receptor 51S1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR51F2,ENSP00000493050,9606,Homo sapiens,OR51F2,Olfactory receptor 51F2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR52R1,ENSP00000485292,9606,Homo sapiens,OR52R1,Olfactory receptor 52R1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4C46,ENSP00000329056,9606,Homo sapiens,OR4C46,Olfactory receptor 4C46; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4X2,ENSP00000485431,9606,Homo sapiens,OR4X2,Olfactory receptor 4X2; Odorant receptor.
OR4B1,ENSP00000311605,9606,Homo sapiens,OR4B1,Olfactory receptor 4B1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR52M1,ENSP00000353343,9606,Homo sapiens,OR52M1,Olfactory receptor 52M1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR52K2,ENSP00000318956,9606,Homo sapiens,OR52K2,Olfactory receptor 52K2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR5P2,ENSP00000331823,9606,Homo sapiens,OR5P2,Olfactory receptor 5P2; Odorant receptor (Potential). May be involved in taste perception.
OR5P3,ENSP00000492944,9606,Homo sapiens,OR5P3,Olfactory receptor 5P3; Odorant receptor (Potential). May be involved in taste perception.
OR8I2,ENSP00000303864,9606,Homo sapiens,OR8I2,Olfactory receptor 8I2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2D3,ENSP00000320560,9606,Homo sapiens,OR2D3,Olfactory receptor 2D3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2D2,ENSP00000299459,9606,Homo sapiens,OR2D2,Olfactory receptor 2D2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR52W1,ENSP00000309673,9606,Homo sapiens,OR52W1,Olfactory receptor 52W1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR56A4,ENSP00000328215,9606,Homo sapiens,OR56A4,Olfactory receptor 56A4; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR56A1,ENSP00000321246,9606,Homo sapiens,OR56A1,Olfactory receptor 56A1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2AP1,ENSP00000493043,9606,Homo sapiens,OR2AP1,Olfactory receptor 2AP1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10P1,ENSP00000308082,9606,Homo sapiens,OR10P1,Olfactory receptor 10P1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10AD1,ENSP00000308689,9606,Homo sapiens,OR10AD1,Olfactory receptor 10AD1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10A7,ENSP00000326718,9606,Homo sapiens,OR10A7,Olfactory receptor 10A7; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4K14,ENSP00000493106,9606,Homo sapiens,OR4K14,Olfactory receptor 4K14; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR4L1,ENSP00000319217,9606,Homo sapiens,OR4L1,Olfactory receptor 4L1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR11H6,ENSP00000319071,9606,Homo sapiens,OR11H6,Olfactory receptor 11H6; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
SLC24A4,ENSP00000431840,9606,Homo sapiens,SLC24A4,Sodium/potassium/calcium exchanger 4; Transports 1 Ca(2+) and 1 K(+) in exchange for 4 Na(+). Controls the rapid response termination and proper regulation of adaptation in olfactory sensory neurons (OSNs) which subsequently influences how odor information is encoded and perceived. May play a role in calcium transport during amelogenesis (By similarity). Belongs to the Ca(2+):cation antiporter (CaCA) (TC 2.A.19) family. SLC24A subfamily.
OR4D2,ENSP00000493137,9606,Homo sapiens,OR4D2,Olfactory receptor 4D2; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
CNGB1,ENSP00000251102,9606,Homo sapiens,CNGB1,"Cyclic nucleotide-gated cation channel beta-1; Subunit of cyclic nucleotide-gated (CNG) channels, nonselective cation channels, which play important roles in both visual and olfactory signal transduction. When associated with CNGA1, it is involved in the regulation of ion flow into the rod photoreceptor outer segment (ROS), in response to light-induced alteration of the levels of intracellular cGMP."
OR7D4,ENSP00000493404,9606,Homo sapiens,OR7D4,Olfactory receptor 7D4; Odorant receptor. Selectively activated by androstenone and the related odorous steroid androstadienone.
OR7G1,ENSP00000444134,9606,Homo sapiens,OR7G1,Olfactory receptor 7G1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR1M1,ENSP00000493107,9606,Homo sapiens,OR1M1,Olfactory receptor 1M1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
CNGA2,ENSP00000328478,9606,Homo sapiens,CNGA2,Cyclic nucleotide-gated olfactory channel; Odorant signal transduction is probably mediated by a G- protein coupled cascade using cAMP as second messenger. The olfactory channel can be shown to be activated by cyclic nucleotides which leads to a depolarization of olfactory sensory neurons; Belongs to the cyclic nucleotide-gated cation channel (TC 1.A.1.5) family. CNGA2 subfamily.
CNGA3,ENSP00000272602,9606,Homo sapiens,CNGA3,"Cyclic nucleotide-gated cation channel alpha-3; Visual signal transduction is mediated by a G-protein coupled cascade using cGMP as second messenger. This protein can be activated by cyclic GMP which leads to an opening of the cation channel and thereby causing a depolarization of cone photoreceptors. Induced a flickering channel gating, weakened the outward rectification in the presence of extracellular calcium, increased sensitivity for L-cis diltiazem and enhanced the cAMP efficacy of the channel when coexpressed with CNGB3 (By similarity). Essential for the generation of light-evok [...] "
CNGA4,ENSP00000369268,9606,Homo sapiens,CNGA4,"Cyclic nucleotide-gated cation channel alpha-4; Second messenger, cAMP, causes the opening of cation- selective cyclic nucleotide-gated (CNG) channels and depolarization of the neuron (olfactory sensory neurons, OSNs). CNGA4 is the modulatory subunit of this channel which is known to play a central role in the transduction of odorant signals and subsequent adaptation. By accelerating the calcium-mediated negative feedback in olfactory signaling it allows rapid adaptation to odor stimulation and extends its range of odor detection (By similarity)."
OR1I1,ENSP00000493393,9606,Homo sapiens,OR1I1,Olfactory receptor 1I1; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR10H4,ENSP00000318834,9606,Homo sapiens,OR10H4,Olfactory receptor 10H4; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2M5,ENSP00000355432,9606,Homo sapiens,OR2M5,Olfactory receptor 2M5; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2M3,ENSP00000492981,9606,Homo sapiens,OR2M3,Olfactory receptor 2M3; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2T12,ENSP00000493000,9606,Homo sapiens,OR2T12,Olfactory receptor 2T12; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR14C36,ENSP00000324534,9606,Homo sapiens,OR14C36,Olfactory receptor 14C36; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2T34,ENSP00000330904,9606,Homo sapiens,OR2T34,Olfactory receptor 2T34; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
OR2T10,ENSP00000493236,9606,Homo sapiens,OR2T10,Olfactory receptor 2T10; Odorant receptor; Belongs to the G-protein coupled receptor 1 family.
